Source File,Tactic,Level,Parent Technique ID,Technique ID,Technique Name,Description
detect.js,Detect,Technique,,AID-D-007,Multimodal Inconsistency Detection,"For AI systems processing multiple input modalities (e.g., text, image, audio, video), implement mechanisms to detect and respond to inconsistencies, contradictions, or malicious instructions hidden via cross-modal interactions. This involves analyzing inputs and outputs across modalities to identify attempts to bypass security controls or manipulate one modality using another, and applying defenses to mitigate such threats."
detect.js,Detect,Technique,,AID-D-008,AI-Based Security Analytics for AI systems,"Employ specialized AI/ML models (secondary AI defenders) to analyze telemetry, logs, and behavioral patterns from primary AI systems to detect sophisticated, subtle, or novel attacks that may evade rule-based or traditional detection methods. This includes identifying anomalous interactions, emergent malicious behaviors, coordinated attacks, or signs of AI-generated attacks targeting the primary AI systems."
detect.js,Detect,Technique,,AID-D-009,Cross-Agent Fact Verification & Hallucination Cascade Prevention,"Implement real-time fact verification and consistency checking mechanisms across multiple AI agents to detect and prevent the propagation of hallucinated or false information through agent networks. This technique employs distributed consensus algorithms, external knowledge base validation, and inter-agent truth verification to break hallucination cascades before they spread through the system."
detect.js,Detect,Technique,,AID-D-010,AI Goal Integrity Monitoring & Deviation Detection,"Continuously monitor and validate AI agent goals, objectives, and decision-making patterns to detect unauthorized goal manipulation or intent deviation. This technique establishes cryptographically signed goal states, implements goal consistency verification, and provides real-time alerting when agents deviate from their intended objectives or exhibit goal manipulation indicators."
detect.js,Detect,Technique,,AID-D-011,Agent Behavioral Attestation & Rogue Detection,"Implement continuous behavioral monitoring and attestation mechanisms to identify rogue or compromised agents in multi-agent systems. This technique uses behavioral fingerprinting, anomaly detection, and peer verification to detect agents that deviate from expected behavioral patterns or exhibit malicious characteristics."
detect.js,Detect,Technique,,AID-D-012,Graph Anomaly & Backdoor Detection,"Implements methods to identify malicious nodes, edges, or subgraphs within a graph dataset that are indicative of poisoning or backdoor attacks against Graph Neural Networks."
detect.js,Detect,Technique,,AID-D-013,RL Reward & Policy Manipulation Detection,This technique focuses on monitoring and analyzing Reinforcement Learning (RL) systems to detect two primary threats: reward hacking and reward tampering. Reward hacking occurs when an agent discovers an exploit in the environment's reward function to achieve a high score for unintended or harmful behavior. Reward tampering involves an external actor manipulating the reward signal being sent to the agent. This technique uses statistical analysis of the reward stream and behavioral analysis of the agent's learned policy to detect these manipulations.
detect.js,Detect,Technique,,AID-D-014,RAG Content & Relevance Monitoring,"This technique involves the real-time monitoring of a Retrieval-Augmented Generation (RAG) system's behavior at inference time. It focuses on two key checks: 1) Content Analysis, where retrieved document chunks are scanned for harmful content or malicious payloads before being passed to the LLM, and 2) Relevance Analysis, which verifies that the retrieved documents are semantically relevant to the user's original query. A significant mismatch in relevance can indicate a vector manipulation or poisoning attack designed to force the model to use unintended context."
detect.js,Detect,SubTechnique,AID-D-001,AID-D-001.001,Per-Prompt Content & Obfuscation Analysis,"Performs real-time analysis on individual prompts to detect malicious content, prompt injection, and jailbreaking attempts. This sub-technique combines two key functions: 1) identifying known malicious patterns and harmful intent using heuristics, regex, and specialized guardrail models, and 2) detecting attempts to hide or obscure these attacks through obfuscation techniques like character encoding (e.g., Base64), homoglyphs, or high-entropy strings. It acts as a primary, synchronous guardrail at the input layer."
detect.js,Detect,SubTechnique,AID-D-001,AID-D-001.002,Synthetic Media & Deepfake Forensics,"Detects manipulated or synthetically generated media (e.g., deepfakes) by performing a forensic analysis that identifies a combination of specific technical artifacts and inconsistencies. This technique fuses evidence from multiple indicators across different modalities—such as image compression anomalies, unnatural biological signals (blinking, vocal patterns), audio-visual mismatches, and hidden data payloads—to provide a more robust and reliable assessment of the media's authenticity."
detect.js,Detect,SubTechnique,AID-D-001,AID-D-001.003,Vector-Space Anomaly Detection,"Detects semantically novel or anomalous inputs by operating on their vector embeddings rather than their raw content. This technique establishes a baseline of 'normal' inputs by clustering the embeddings of known-good data. At inference time, inputs whose embeddings are statistical outliers or fall far from the normal cluster centroids are flagged as suspicious. This is effective against novel attacks that bypass keyword or pattern-based filters by using unusual but semantically malicious phrasing."
detect.js,Detect,SubTechnique,AID-D-001,AID-D-001.004,LLM Guardrail for Intent/Privilege Escalation,"Use a fast secondary LLM (guardrail) to classify prompts for intent switching, instruction bypass, or privilege escalation before reaching the primary model."
detect.js,Detect,SubTechnique,AID-D-003,AID-D-003.001,Harmful Content & Policy Filtering,"Focuses on inspecting AI-generated content for violations of safety and acceptable use policies. This includes detecting hate speech, self-harm content, explicit material, and other categories of harmful or inappropriate output."
detect.js,Detect,SubTechnique,AID-D-003,AID-D-003.002,Sensitive Information & Data Leakage Detection,"Focuses on preventing the AI model from inadvertently disclosing sensitive, confidential, or private information in its outputs. This is critical for protecting user privacy and corporate data."
detect.js,Detect,SubTechnique,AID-D-003,AID-D-003.003,Agentic Tool Use & Action Policy Monitoring,"This sub-technique focuses on the unique challenge of monitoring the actions of autonomous agents. It involves defining and enforcing strict, machine-readable policies about which tools an agent can use, with what parameters, and in what sequence. The detection mechanism is a real-time policy engine that validates each proposed action against these rules before it is executed, acting as a critical guardrail against unintended or malicious agent behavior."
detect.js,Detect,SubTechnique,AID-D-003,AID-D-003.004,Tool-Call Sequence Anomaly Detection,Model normal tool-call transition probabilities and flag anomalous sequences that deviate from expected agent workflows.
detect.js,Detect,SubTechnique,AID-D-004,AID-D-004.001,Static Artifact Hash & Signature Verification,"Periodically re-hash stored models, datasets and container layers and compare against the authorised manifest."
detect.js,Detect,SubTechnique,AID-D-004,AID-D-004.002,Runtime Attestation & Memory Integrity,"Attest the running model process (code, weights, enclave MRENCLAVE) to detect in-memory patching or DLL injection."
detect.js,Detect,SubTechnique,AID-D-004,AID-D-004.003,Configuration & Policy Drift Monitoring,"Detect unauthorised edits to model-serving YAMLs, feature-store ACLs, RAG index schemas or inference-time policy files."
detect.js,Detect,SubTechnique,AID-D-004,AID-D-004.004,Model Source & Namespace Drift Detection,"A set of high-signal detective controls that monitor for symptoms of a model namespace reuse attack or supply chain policy failure. This technique focuses on detecting lifecycle changes in external model repositories (e.g., deletions, redirects) during the curation process and on identifying unexpected network traffic from production systems to public model hubs at runtime."
detect.js,Detect,SubTechnique,AID-D-005,AID-D-005.001,AI System Log Generation & Collection,"This foundational technique covers the instrumentation of AI applications to produce detailed, structured logs for all significant events, and the implementation of a secure pipeline to collect and forward these logs to a central analysis platform. The goal is to create a high-fidelity, auditable record of system activity, which is a prerequisite for all other detection, investigation, and threat hunting capabilities."
detect.js,Detect,SubTechnique,AID-D-005,AID-D-005.002,Security Monitoring & Alerting for AI,This technique covers the real-time monitoring of ingested AI system logs and the creation of specific rules to detect and generate alerts for known suspicious or malicious patterns. It focuses on the operational security task of identifying potential threats as they occur by comparing live activity against predefined attack signatures and behavioral heuristics. This is the core function of a Security Operations Center (SOC) in defending AI systems.
detect.js,Detect,SubTechnique,AID-D-005,AID-D-005.003,Proactive AI Threat Hunting,"This technique covers the proactive, hypothesis-driven search through AI system logs and telemetry for subtle, unknown, or 'low-and-slow' attacks that do not trigger predefined alerts. Threat hunting assumes an attacker may already be present and evading standard detections. It focuses on identifying novel attack patterns, reconnaissance activities, and anomalous behaviors by using exploratory data analysis, complex queries, and machine learning on historical data."
detect.js,Detect,SubTechnique,AID-D-005,AID-D-005.004,Specialized Agent & Session Logging,"This technique covers the highly specialized logging required for autonomous and agentic AI systems, which goes beyond standard API request/response logging. It involves instrumenting the agent's internal decision-making loop to capture its goals, plans, intermediate thoughts, tool selections, and interactions with memory or knowledge bases. This detailed audit trail is essential for debugging, ensuring compliance, and detecting complex threats like goal manipulation or emergent, unsafe behaviors."
detect.js,Detect,SubTechnique,AID-D-005,AID-D-005.005,Accelerator Telemetry Anomaly Detection,"Continuously baseline and monitor accelerator telemetry (power, temperature, utilization, PMCs). Alert on deviations indicating cryptomining, DoS, or side-channel probing."
detect.js,Detect,SubTechnique,AID-D-011,AID-D-011.001,Agent Behavioral Analytics & Anomaly Detection,"This data science-driven technique focuses on detecting rogue or compromised agents by analyzing their behavior over time. It involves creating a quantitative 'fingerprint' of an agent's normal operational patterns from logs and telemetry. By continuously comparing an agent's live behavior against its established baseline, this technique can identify significant deviations, drifts, or anomalous patterns that indicate a compromise or hijacking."
detect.js,Detect,SubTechnique,AID-D-011,AID-D-011.002,Inter-Agent Security & Consensus Monitoring,"This sub-technique covers the security of agent-to-agent interactions within a multi-agent system. It focuses on implementing mechanisms that allow agents to monitor and validate each other's behavior, report anomalies, and reach consensus before performing critical, system-wide actions. This creates a distributed, peer-to-peer defense layer within the agent ecosystem."
detect.js,Detect,SubTechnique,AID-D-011,AID-D-011.003,Agent Infrastructure & Population Control,"This sub-technique covers the infrastructure and orchestration-level controls for managing the agent population and responding to threats. It focuses on a top-down view of the agent ecosystem, ensuring that only authorized agents are running and providing mechanisms to rapidly isolate and contain agents that are confirmed to be rogue or malicious. These are typically automated responses triggered by other detection systems."
detect.js,Detect,SubTechnique,AID-D-012,AID-D-012.001,Discrepancy-Based GNN Backdoor Detection,Detects backdoored nodes in a Graph Neural Network (GNN) by identifying significant discrepancies between a potentially compromised model and a clean baseline model (established via AID-M-003.003). The technique specifically looks for semantic drift (changes in a node's meaning) and attribute over-emphasis (unusual feature importance) caused by the backdoor. Clustering algorithms are then often used to isolate the small group of poisoned nodes based on these detected discrepancies.
detect.js,Detect,SubTechnique,AID-D-012,AID-D-012.002,Structure-Feature Relationship Analysis for GNN Defense,"Detects and mitigates training-time adversarial attacks on Graph Neural Networks (GNNs) that perturb the graph structure. The core principle is to analyze the relationship between the graph's connectivity (structure) and the attributes of its nodes (features). By identifying and then pruning or down-weighting anomalous edges that violate expected structure-feature properties (e.g., connecting highly dissimilar nodes), this technique creates a revised, more robust graph for the GNN's message passing, hardening it against structural poisoning."
detect.js,Detect,SubTechnique,AID-D-012,AID-D-012.003,Structural & Topological Anomaly Detection,"Detects potential poisoning or backdoor attacks in graphs by analyzing their topological structure, independent of node features. This technique identifies suspicious patterns such as unusually dense subgraphs (cliques), nodes with anomalously high centrality or degree, or other structural irregularities that deviate from the expected properties of the graph and are often characteristic of coordinated attacks."
detect.js,Detect,SubTechnique,AID-D-014,AID-D-014.001,Post-Retrieval Malicious Content Scanning,Treat retrieved RAG chunks as untrusted input; scan for prompt-injection patterns or malicious payloads before inclusion in LLM context.
detect.js,Detect,SubTechnique,AID-D-014,AID-D-014.002,Query-Document Semantic Relevance Verification,Verify cosine similarity between the user query and each candidate chunk using the same embedding model; drop low-similarity items to resist poisoning.
detect.js,Detect,SubTechnique,AID-D-014,AID-D-014.003,Source Concentration Monitoring,"Alert when top-k retrievals are dominated by a single uncommon source, indicating possible answer drift or targeted source poisoning."
evict.js,Evict,Technique,,AID-E-001,Credential Revocation & Rotation for AI Systems,"Immediately revoke, invalidate, or rotate any credentials (e.g., API keys, access tokens, user account passwords, service account credentials, certificates) that are known or suspected to have been compromised or used by an adversary to gain unauthorized access to or interact maliciously with AI systems, models, data, or MLOps pipelines. This action aims to cut off the attacker's current access and prevent them from reusing stolen credentials."
evict.js,Evict,Technique,,AID-E-002,AI Process & Session Eviction,"Terminate any running AI model instances, agent processes, user sessions, or containerized workloads that are confirmed to be malicious, compromised, or actively involved in an attack. This immediate action halts the adversary's ongoing activities within the AI system and removes their active foothold."
evict.js,Evict,Technique,,AID-E-003,AI Backdoor & Malicious Artifact Removal,"Systematically scan for, identify, and remove any malicious artifacts introduced by an attacker into the AI system. This includes backdoors in models, poisoned data, malicious code, or configuration changes designed to grant persistent access or manipulate AI behavior."
evict.js,Evict,Technique,,AID-E-004,User-Agent,"After an attack vector has been identified and the adversary evicted, rapidly apply necessary security patches to vulnerable software components (e.g., ML libraries, operating systems, web servers, agent frameworks) and harden system configurations that were exploited or found to be weak. This step aims to close the specific vulnerabilities used by the attacker and strengthen overall security posture to prevent reinfection or similar future attacks."
evict.js,Evict,Technique,,AID-E-005,Compromised Session Termination & State Purging,"When communication channels or user/agent sessions are suspected or confirmed compromised, immediately expel the adversary and dismantle all footholds. This includes terminating active sessions, revoking tokens, purging tainted conversational memory, and disabling malicious execution paths like unknown webhooks or queued jobs. The goal is to prevent any residual access so the attacker cannot continue or instantly re-enter."
evict.js,Evict,Technique,,AID-E-006,"End-of-Life (EOL) of Models, Configurations and Data","Implements formal, verifiable technical decommissioning procedures to securely and permanently delete or dispose of AI models, configurations, and their associated data at the end of their lifecycle or upon a transfer of ownership. This technique ensures that residual data cannot be recovered and that security issues from a decommissioned system cannot be transferred to another."
evict.js,Evict,SubTechnique,AID-E-001,AID-E-001.001,Foundational Credential Management,"This sub-technique covers the standard, proactive lifecycle management and incident response for credentials associated with human users and traditional services (e.g., database accounts, long-lived service account keys). It includes essential security hygiene practices like regularly rotating secrets, as well as reactive measures such as forcing password resets and cleaning up unauthorized accounts after a compromise has been detected."
evict.js,Evict,SubTechnique,AID-E-001,AID-E-001.002,Automated & Real-time Invalidation,"This sub-technique covers the immediate, automated, and reactive side of credential eviction. It focuses on integrating security alerting with response workflows to automatically disable compromised credentials the moment they are detected. It also addresses the challenge of ensuring that revocations for stateless tokens (like JWTs) are propagated and enforced in real-time to immediately terminate an attacker's session."
evict.js,Evict,SubTechnique,AID-E-001,AID-E-001.003,AI Agent & Workload Identity Revocation,"This sub-technique covers the specialized task of revoking credentials and identities for non-human, AI-specific entities. It addresses modern, ephemeral identity types like those used by autonomous agents and containerized workloads, such as short-lived mTLS certificates, cloud workload identities (e.g., IAM Roles for Service Accounts), and SPIFFE Verifiable Identity Documents (SVIDs). The goal is to immediately evict a compromised AI workload from the trust domain."
evict.js,Evict,SubTechnique,AID-E-003,AID-E-003.001,Neural Network Backdoor Detection & Removal,"Focuses on identifying and removing backdoors embedded within neural network model parameters, including trigger-based backdoors that cause misclassification on specific inputs."
evict.js,Evict,SubTechnique,AID-E-003,AID-E-003.002,Poisoned Data Detection & Cleansing,"Identifies and removes maliciously crafted data points from training sets, vector databases, or other data stores that could influence model behavior or enable attacks."
evict.js,Evict,SubTechnique,AID-E-003,AID-E-003.003,Malicious Code & Configuration Cleanup,"Removes malicious scripts, modified configuration files, unauthorized tools, or persistence mechanisms that attackers may have introduced into the AI system infrastructure."
evict.js,Evict,SubTechnique,AID-E-003,AID-E-003.004,Malicious Node Eviction in Graph Datasets,"After a detection method identifies nodes that are likely poisoned or part of a backdoor trigger, this eviction technique systematically removes those nodes and their associated edges from the graph dataset. This cleansing action is performed before the final, clean Graph Neural Network (GNN) model is trained or retrained, ensuring the malicious artifacts and their influence are fully purged from the training process."
evict.js,Evict,SubTechnique,AID-E-006,AID-E-006.001,Cryptographic Erasure & Media Sanitization,"Employs cryptographic and physical methods to render AI data and models on storage media permanently unrecoverable. This is the core technical process for decommissioning AI assets, ensuring compliance with data protection regulations and preventing future data leakage."
evict.js,Evict,SubTechnique,AID-E-006,AID-E-006.002,Secure Asset Transfer & Ownership Change,Defines the technical process for securely transferring ownership of an AI asset to another entity. This involves cryptographic verification of the transferred artifact and a corresponding secure deletion of the original asset to prevent residual security risks.
harden.js,Harden,Technique,,AID-H-001,Adversarial Robustness Training,"A set of techniques that proactively improve a model's resilience to adversarial inputs by training it with examples specifically crafted to try and fool it. This process 'vaccinates' the model against various forms of attack—from subtle, full-image perturbations to localized, high-visibility adversarial patches—by directly incorporating adversarial defense into the training loop, forcing the model to learn more robust and generalizable features."
harden.js,Harden,Technique,,AID-H-002,AI-Contextualized Data Sanitization & Input Validation,"Implement rigorous validation, sanitization, and filtering mechanisms for all data fed into AI systems. This applies to training data, fine-tuning data, and live operational inputs (including user prompts for LLMs). The goal is to detect and remove or neutralize malicious content, anomalous data, out-of-distribution samples, or inputs structured to exploit vulnerabilities like prompt injection or data poisoning before they can adversely affect the model or downstream systems. For LLMs, this involves specific techniques like stripping or encoding control tokens and filtering for known injection patterns or harmful content. For multimodal systems, this includes validating and sanitizing inputs across all modalities (e.g., text, image, audio, video) and ensuring that inputs in one modality cannot be readily used to trigger vulnerabilities, bypass controls, or inject malicious content into another modality processing pathway."
harden.js,Harden,Technique,,AID-H-003,Secure ML Supply Chain Management,"Apply rigorous software supply chain security principles throughout the AI/ML development and operational lifecycle. This involves verifying the integrity, authenticity, and security of all components, including source code, pre-trained models, datasets, ML libraries, development tools, and deployment infrastructure. The aim is to prevent the introduction of vulnerabilities, backdoors, malicious code (e.g., via compromised dependencies), or tampered artifacts into the AI system. This is critical as AI systems often rely on a complex ecosystem of third-party elements."
harden.js,Harden,Technique,,AID-H-004,Identity & Access Management (IAM) for AI Systems,"Implement and enforce comprehensive Identity and Access Management (IAM) controls for all AI resources, including models, APIs, data stores, agentic tools, and administrative interfaces. This involves applying the principle of least privilege, strong authentication, and robust authorization to limit who and what can interact with, modify, or manage AI systems."
harden.js,Harden,Technique,,AID-H-005,Privacy-Preserving Machine Learning (PPML) Techniques,"Employ a range of advanced cryptographic and statistical techniques during AI model training, fine-tuning, and inference to protect the privacy of sensitive information within datasets. These methods aim to prevent the leakage of individual data records, membership inference, or the reconstruction of sensitive inputs from model outputs."
harden.js,Harden,Technique,,AID-H-006,AI Output Hardening & Sanitization,"Implement programmatic transformations, structuring, and sanitization on the raw output generated by an AI model before it is passed to a user or downstream system. This proactive control aims to enforce a safe, expected format, remove potentially exploitable content, and reduce the risk of the output itself becoming an attack vector against end-users or other system components. This is distinct from detective output monitoring; it is a preventative measure to harden the output stream itself."
harden.js,Harden,Technique,,AID-H-007,Secure & Resilient Training Process Hardening,"Implement robust security measures to protect the integrity, confidentiality, and stability of the AI model training process itself. This involves securing the training environment (infrastructure, code, data access), continuously monitoring training jobs for anomalous behavior (e.g., unexpected resource consumption, convergence failures, unusual metric fluctuations that could indicate subtle data poisoning effects not caught by pre-filtering or direct manipulation of training code), and ensuring training reproducibility and auditability."
harden.js,Harden,Technique,,AID-H-008,Robust Federated Learning Aggregation,"Implement and enforce secure aggregation protocols and defenses against malicious or unreliable client updates within Federated Learning (FL) architectures. This technique aims to prevent attackers controlling a subset of participating clients from disproportionately influencing, poisoning, or degrading the global model, or inferring information about other clients' data."
harden.js,Harden,Technique,,AID-H-009,AI Accelerator & Hardware Integrity,"Implement measures to protect the physical integrity and operational security of specialized AI hardware (GPUs, TPUs, NPUs, FPGAs) and the platforms hosting them against physical tampering, side-channel attacks (power, timing, EM), fault injection, and hardware Trojans. This aims to ensure the confidentiality and integrity of AI computations and model parameters processed by the hardware."
harden.js,Harden,Technique,,AID-H-010,Transformer Architecture Defenses,"Implement security measures specifically designed to mitigate vulnerabilities inherent in the Transformer architecture, such as attention mechanism manipulation, position embedding attacks, and risks associated with self-attention complexity. These defenses aim to protect against attacks that exploit how Transformers process and prioritize information."
harden.js,Harden,Technique,,AID-H-011,Classifier-Free Guidance Hardening,"A set of techniques focused on hardening the Classifier-Free Guidance (CFG) mechanism in diffusion models. CFG is a core component that steers image generation towards a text prompt, but adversaries can exploit high guidance scale values to force the model to generate harmful, unsafe, or out-of-distribution content. These hardening techniques aim to control the CFG scale and its influence, preventing its misuse while preserving the model's creative capabilities."
harden.js,Harden,Technique,,AID-H-012,Graph Neural Network (GNN) Poisoning Defense,"Implement defenses to secure Graph Neural Networks (GNNs) against data poisoning attacks that manipulate the graph structure (nodes, edges) or node features. The goal is to ensure the integrity of the graph data and the robustness of the GNN's predictions against malicious alterations."
harden.js,Harden,Technique,,AID-H-013,Reinforcement Learning (RL) Reward Hacking Prevention,Design and implement safeguards to prevent Reinforcement Learning (RL) agents from discovering and exploiting flaws in the reward function to achieve high rewards for unintended or harmful behaviors ('reward hacking'). This also includes protecting the reward signal from external manipulation.
harden.js,Harden,Technique,,AID-H-014,Proactive Data Perturbation & Watermarking,"Intentionally altering or embedding signals into source data (images, text, etc.) before it is used or shared, in order to disrupt, trace, or defend against misuse in downstream AI systems."
harden.js,Harden,Technique,,AID-H-015,Ensemble Methods for Robustness,"An architectural defense that improves a system's resilience by combining the predictions of multiple, independently trained AI models. An attacker must now successfully deceive a majority of the models in the ensemble to cause a misclassification, significantly increasing the difficulty of a successful evasion attack. This technique is applied at inference time and is distinct from training-time hardening methods."
harden.js,Harden,Technique,,AID-H-016,Certified Defenses,"A set of advanced techniques that provide a mathematical, provable guarantee that a model's output will not change for any input within a defined 'robustness radius'. Unlike empirical defenses like standard adversarial training, which improve resilience against known attack types, certified defenses use formal methods to prove that no attack within a certain magnitude (e.g., L-infinity norm) can cause a misclassification. This is a highly specialized task that offers the highest level of assurance against evasion attacks."
harden.js,Harden,Technique,,AID-H-017,System Prompt Hardening,"This technique focuses on the design and implementation of robust system prompts to proactively defend Large Language Models (LLMs) against prompt injection, jailbreaking, and manipulation. It involves crafting the LLM's core instructions to be clear, unambiguous, and resilient to adversarial user inputs. This is a design-time, preventative control that establishes the foundational security posture of an LLM-based application."
harden.js,Harden,Technique,,AID-H-018,Secure Agent Architecture,"This technique covers the secure-by-design architectural principles for building autonomous AI agents. It focuses on proactively designing the agent's core components—such as its reasoning loop, tool-use mechanism, state management, and action dispatchers—to be inherently more robust, auditable, and resistant to manipulation. This is distinct from monitoring agent behavior; it is about building the agent securely from the ground up."
harden.js,Harden,Technique,,AID-H-019,Tool Authorization & Capability Scoping,"Establish and enforce strict authorization and capability limits for tools invocable by an AI agent. Apply least privilege with allowlists, parameter boundaries, and mandatory structured inputs/outputs to constrain agent capabilities and prevent unauthorized or dangerous operations even under prompt manipulation."
harden.js,Harden,Technique,,AID-H-020,Safe Fetch & Browser Sandbox for Agents,"Impose strict controls on agent-initiated HTTP requests and web browsing to prevent SSRF, internal reconnaissance, and attacks via malicious web content. All external content is treated as untrusted and demoted to safe text before LLM consumption."
harden.js,Harden,Technique,,AID-H-021,RAG Index Hygiene & Signing,Implement integrity and provenance controls during RAG indexing and maintenance. Cryptographically sign chunks/embeddings and weight content by source trust to prevent index poisoning and enable verification at retrieval time.
